Date,Close
17-03-2016,82.8
16-03-2016,82.85
15-03-2016,83.4
14-03-2016,82.35
11/3/2016,81.9
10/3/2016,81.75
9/3/2016,82.75
8/3/2016,81.55
4/3/2016,83
3/3/2016,79.1
2/3/2016,78.55
1/3/2016,73.65
29-02-2016,71.3
26-02-2016,72.5
25-02-2016,71.8
24-02-2016,72.2
23-02-2016,72.7
22-02-2016,75.65
19-02-2016,76.15
18-02-2016,72.45
17-02-2016,72.6
16-02-2016,72.5
15-02-2016,76.8
12/2/2016,74
11/2/2016,76.75
10/2/2016,79.95
9/2/2016,87.85
8/2/2016,94.35
5/2/2016,94.65
4/2/2016,90.95
3/2/2016,89.45
2/2/2016,89.5
1/2/2016,90.1
29-01-2016,91.15
28-01-2016,91.4
27-01-2016,93.95
25-01-2016,91.85
22-01-2016,92.55
21-01-2016,88.95
20-01-2016,87.6
19-01-2016,92.95
18-01-2016,91.35
15-01-2016,92.1
14-01-2016,97.85
13-01-2016,98.15
12/1/2016,99.7
11/1/2016,102.95
8/1/2016,105.15
7/1/2016,105.05
6/1/2016,109.95
5/1/2016,110.9
4/1/2016,113
1/1/2016,117.65
31-12-2015,115.65
30-12-2015,117.75
29-12-2015,120.15
28-12-2015,120.45
24-12-2015,120.2
23-12-2015,121.3
22-12-2015,120.7
21-12-2015,122.65
18-12-2015,122.05
17-12-2015,122.7
16-12-2015,121.25
15-12-2015,121.95
14-12-2015,124.7
11/12/2015,123
10/12/2015,129.5
9/12/2015,130.45
8/12/2015,132.15
7/12/2015,134
4/12/2015,134.55
3/12/2015,136.85
2/12/2015,139.6
1/12/2015,144
30-11-2015,144.65
27-11-2015,144.3
26-11-2015,139.7
24-11-2015,138.15
23-11-2015,139.2
20-11-2015,139.45
19-11-2015,139.15
18-11-2015,136.3
17-11-2015,141
16-11-2015,140.3
13-11-2015,136.85
11/11/2015,134.35
10/11/2015,133.75
9/11/2015,135.25
6/11/2015,132.8
5/11/2015,129.6
4/11/2015,131.25
3/11/2015,130.25
2/11/2015,129.5
30-10-2015,128.4
29-10-2015,129
28-10-2015,130.5
27-10-2015,134.4
26-10-2015,134.05
23-10-2015,135.55
21-10-2015,135.6
20-10-2015,138.1
19-10-2015,137.1
16-10-2015,138.3
15-10-2015,137.4
14-10-2015,135.65
13-10-2015,136.75
12/10/2015,137.75
9/10/2015,138.1
8/10/2015,139.1
7/10/2015,139
6/10/2015,136.85
5/10/2015,136.25
1/10/2015,132.55
30-09-2015,133.45
29-09-2015,135.3
28-09-2015,134.9
24-09-2015,135.7
23-09-2015,135.55
22-09-2015,134.55
21-09-2015,140
18-09-2015,138.75
16-09-2015,136.35
15-09-2015,135.3
